distance,pair,value
2,7_9,642.25
3,5_8,729
4,2_6,610
5,3_8,539.2
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,6_7,613.667
2,4_6,655.4
3,4_7,613.5
4,4_8,605.8
5,3_8,539.2
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,1_2,576.8
2,4_6,655.4
3,2_5,500.6
4,1_5,543.4
5,1_6,476.4
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,5_6,575
2,5_7,592
3,6_9,675
4,1_5,543.4
5,3_8,539.2
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,7_8,588.75
2,4_6,655.4
3,1_4,478.2
4,4_8,605.8
5,3_8,539.2
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,6_7,613.667
2,7_9,642.25
3,3_6,475.25
4,1_5,543.4
5,3_8,539.2
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,6_7,613.667
2,6_8,663.2
3,4_7,613.5
4,1_5,543.4
5,3_8,539.2
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,7_8,588.75
2,2_4,612
3,2_5,500.6
4,4_8,605.8
5,4_9,626.75
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,3_4,583.5
2,4_6,655.4
3,2_5,500.6
4,3_7,611.4
5,2_7,597.4
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,5_6,575
2,1_3,510.8
3,4_7,613.5
4,1_5,543.4
5,3_8,539.2
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,1_2,576.8
2,5_7,592
3,2_5,500.6
4,3_7,611.4
5,3_8,539.2
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,2_3,528.2
2,6_8,663.2
3,2_5,500.6
4,2_6,610
5,1_6,476.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,4_5,622.75
2,4_6,655.4
3,3_6,475.25
4,5_9,630
5,3_8,539.2
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,3_4,583.5
2,2_4,612
3,3_6,475.25
4,2_6,610
5,4_9,626.75
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,7_8,588.75
2,5_7,592
3,6_9,675
4,5_9,630
5,1_6,476.4
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,8_9,843.333
2,3_5,586
3,3_6,475.25
4,3_7,611.4
5,4_9,626.75
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,8_9,843.333
2,2_4,612
3,5_8,729
4,4_8,605.8
5,2_7,597.4
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,8_9,843.333
2,3_5,586
3,6_9,675
4,5_9,630
5,3_8,539.2
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,5_6,575
2,6_8,663.2
3,5_8,729
4,3_7,611.4
5,1_6,476.4
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,7_8,588.75
2,5_7,592
3,4_7,613.5
4,1_5,543.4
5,2_7,597.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,5_6,575
2,1_3,510.8
3,3_6,475.25
4,4_8,605.8
5,4_9,626.75
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,3_4,583.5
2,6_8,663.2
3,3_6,475.25
4,3_7,611.4
5,3_8,539.2
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,8_9,843.333
2,2_4,612
3,5_8,729
4,5_9,630
5,3_8,539.2
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,3_4,583.5
2,5_7,592
3,5_8,729
4,5_9,630
5,3_8,539.2
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,8_9,843.333
2,5_7,592
3,1_4,478.2
4,3_7,611.4
5,2_7,597.4
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,4_5,622.75
2,2_4,612
3,4_7,613.5
4,3_7,611.4
5,1_6,476.4
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,3_4,583.5
2,3_5,586
3,2_5,500.6
4,1_5,543.4
5,4_9,626.75
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,7_8,588.75
2,7_9,642.25
3,3_6,475.25
4,1_5,543.4
5,1_6,476.4
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,1_2,576.8
2,6_8,663.2
3,4_7,613.5
4,5_9,630
5,4_9,626.75
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,6_7,613.667
2,4_6,655.4
3,5_8,729
4,3_7,611.4
5,1_6,476.4
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,1_2,576.8
2,5_7,592
3,5_8,729
4,3_7,611.4
5,1_6,476.4
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,4_5,622.75
2,4_6,655.4
3,5_8,729
4,4_8,605.8
5,2_7,597.4
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,7_8,588.75
2,5_7,592
3,5_8,729
4,5_9,630
5,3_8,539.2
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,1_2,576.8
2,2_4,612
3,5_8,729
4,4_8,605.8
5,4_9,626.75
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,1_2,576.8
2,1_3,510.8
3,1_4,478.2
4,1_5,543.4
5,3_8,539.2
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,8_9,843.333
2,4_6,655.4
3,5_8,729
4,2_6,610
5,2_7,597.4
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,8_9,843.333
2,2_4,612
3,5_8,729
4,3_7,611.4
5,3_8,539.2
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,8_9,843.333
2,5_7,592
3,1_4,478.2
4,1_5,543.4
5,4_9,626.75
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,8_9,843.333
2,5_7,592
3,3_6,475.25
4,1_5,543.4
5,4_9,626.75
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,7_8,588.75
2,5_7,592
3,3_6,475.25
4,5_9,630
5,2_7,597.4
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,3_4,583.5
2,5_7,592
3,2_5,500.6
4,2_6,610
5,2_7,597.4
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,2_3,528.2
2,1_3,510.8
3,5_8,729
4,5_9,630
5,2_7,597.4
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,1_2,576.8
2,2_4,612
3,4_7,613.5
4,3_7,611.4
5,4_9,626.75
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,6_7,613.667
2,1_3,510.8
3,6_9,675
4,1_5,543.4
5,2_7,597.4
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,7_8,588.75
2,1_3,510.8
3,2_5,500.6
4,5_9,630
5,4_9,626.75
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,7_8,588.75
2,4_6,655.4
3,1_4,478.2
4,2_6,610
5,3_8,539.2
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,5_6,575
2,7_9,642.25
3,4_7,613.5
4,2_6,610
5,3_8,539.2
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,6_7,613.667
2,6_8,663.2
3,3_6,475.25
4,2_6,610
5,1_6,476.4
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,3_4,583.5
2,3_5,586
3,1_4,478.2
4,4_8,605.8
5,1_6,476.4
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,8_9,843.333
2,6_8,663.2
3,6_9,675
4,2_6,610
5,1_6,476.4
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,2_3,528.2
2,5_7,592
3,6_9,675
4,3_7,611.4
5,2_7,597.4
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,7_8,588.75
2,2_4,612
3,1_4,478.2
4,5_9,630
5,1_6,476.4
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,4_5,622.75
2,7_9,642.25
3,2_5,500.6
4,3_7,611.4
5,3_8,539.2
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,4_5,622.75
2,5_7,592
3,1_4,478.2
4,1_5,543.4
5,2_7,597.4
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,4_5,622.75
2,5_7,592
3,4_7,613.5
4,1_5,543.4
5,1_6,476.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,5_6,575
2,5_7,592
3,4_7,613.5
4,4_8,605.8
5,2_7,597.4
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,6_7,613.667
2,5_7,592
3,5_8,729
4,2_6,610
5,2_7,597.4
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,8_9,843.333
2,2_4,612
3,5_8,729
4,5_9,630
5,2_7,597.4
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,5_6,575
2,4_6,655.4
3,3_6,475.25
4,3_7,611.4
5,1_6,476.4
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,3_4,583.5
2,2_4,612
3,6_9,675
4,3_7,611.4
5,4_9,626.75
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,1_2,576.8
2,4_6,655.4
3,6_9,675
4,2_6,610
5,2_7,597.4
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,5_6,575
2,5_7,592
3,1_4,478.2
4,4_8,605.8
5,1_6,476.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,8_9,843.333
2,3_5,586
3,5_8,729
4,3_7,611.4
5,3_8,539.2
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,5_6,575
2,6_8,663.2
3,5_8,729
4,2_6,610
5,3_8,539.2
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,4_5,622.75
2,1_3,510.8
3,3_6,475.25
4,2_6,610
5,3_8,539.2
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,5_6,575
2,7_9,642.25
3,3_6,475.25
4,5_9,630
5,1_6,476.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,8_9,843.333
2,7_9,642.25
3,6_9,675
4,5_9,630
5,1_6,476.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,7_8,588.75
2,1_3,510.8
3,6_9,675
4,2_6,610
5,4_9,626.75
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,8_9,843.333
2,3_5,586
3,1_4,478.2
4,1_5,543.4
5,4_9,626.75
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,8_9,843.333
2,5_7,592
3,1_4,478.2
4,4_8,605.8
5,3_8,539.2
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,4_5,622.75
2,4_6,655.4
3,1_4,478.2
4,5_9,630
5,4_9,626.75
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,6_7,613.667
2,3_5,586
3,3_6,475.25
4,5_9,630
5,4_9,626.75
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,1_2,576.8
2,5_7,592
3,6_9,675
4,4_8,605.8
5,4_9,626.75
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,5_6,575
2,5_7,592
3,5_8,729
4,3_7,611.4
5,2_7,597.4
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,6_7,613.667
2,4_6,655.4
3,6_9,675
4,3_7,611.4
5,4_9,626.75
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,7_8,588.75
2,2_4,612
3,6_9,675
4,4_8,605.8
5,4_9,626.75
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,1_2,576.8
2,6_8,663.2
3,1_4,478.2
4,1_5,543.4
5,1_6,476.4
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,8_9,843.333
2,6_8,663.2
3,1_4,478.2
4,2_6,610
5,1_6,476.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,5_6,575
2,3_5,586
3,1_4,478.2
4,5_9,630
5,4_9,626.75
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,2_3,528.2
2,1_3,510.8
3,2_5,500.6
4,2_6,610
5,2_7,597.4
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,8_9,843.333
2,4_6,655.4
3,6_9,675
4,4_8,605.8
5,1_6,476.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,5_6,575
2,2_4,612
3,5_8,729
4,3_7,611.4
5,3_8,539.2
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,8_9,843.333
2,2_4,612
3,3_6,475.25
4,2_6,610
5,3_8,539.2
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,7_8,588.75
2,6_8,663.2
3,4_7,613.5
4,5_9,630
5,2_7,597.4
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,3_4,583.5
2,3_5,586
3,6_9,675
4,2_6,610
5,4_9,626.75
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,6_7,613.667
2,4_6,655.4
3,2_5,500.6
4,5_9,630
5,1_6,476.4
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,2_3,528.2
2,3_5,586
3,5_8,729
4,3_7,611.4
5,1_6,476.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,2_3,528.2
2,4_6,655.4
3,6_9,675
4,3_7,611.4
5,2_7,597.4
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,3_4,583.5
2,7_9,642.25
3,1_4,478.2
4,3_7,611.4
5,2_7,597.4
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,8_9,843.333
2,4_6,655.4
3,4_7,613.5
4,2_6,610
5,3_8,539.2
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,8_9,843.333
2,7_9,642.25
3,6_9,675
4,5_9,630
5,2_7,597.4
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,4_5,622.75
2,7_9,642.25
3,2_5,500.6
4,2_6,610
5,1_6,476.4
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,1_2,576.8
2,7_9,642.25
3,3_6,475.25
4,2_6,610
5,3_8,539.2
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,5_6,575
2,1_3,510.8
3,4_7,613.5
4,1_5,543.4
5,1_6,476.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,5_6,575
2,1_3,510.8
3,2_5,500.6
4,5_9,630
5,4_9,626.75
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,2_3,528.2
2,3_5,586
3,2_5,500.6
4,1_5,543.4
5,1_6,476.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,3_4,583.5
2,5_7,592
3,2_5,500.6
4,2_6,610
5,1_6,476.4
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,1_2,576.8
2,2_4,612
3,1_4,478.2
4,1_5,543.4
5,2_7,597.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,6_7,613.667
2,3_5,586
3,5_8,729
4,3_7,611.4
5,2_7,597.4
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,2_3,528.2
2,4_6,655.4
3,5_8,729
4,2_6,610
5,4_9,626.75
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,4_5,622.75
2,3_5,586
3,1_4,478.2
4,5_9,630
5,2_7,597.4
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,2_3,528.2
2,5_7,592
3,3_6,475.25
4,2_6,610
5,3_8,539.2
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,4_5,622.75
2,6_8,663.2
3,4_7,613.5
4,3_7,611.4
5,2_7,597.4
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,8_9,843.333
2,1_3,510.8
3,6_9,675
4,4_8,605.8
5,4_9,626.75
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,5_6,575
2,1_3,510.8
3,3_6,475.25
4,5_9,630
5,1_6,476.4
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,3_4,583.5
2,6_8,663.2
3,2_5,500.6
4,3_7,611.4
5,4_9,626.75
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,8_9,843.333
2,5_7,592
3,6_9,675
4,1_5,543.4
5,1_6,476.4
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,2_3,528.2
2,6_8,663.2
3,4_7,613.5
4,3_7,611.4
5,2_7,597.4
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,5_6,575
2,1_3,510.8
3,6_9,675
4,2_6,610
5,1_6,476.4
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,8_9,843.333
2,2_4,612
3,1_4,478.2
4,4_8,605.8
5,1_6,476.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,4_5,622.75
2,4_6,655.4
3,3_6,475.25
4,1_5,543.4
5,1_6,476.4
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,1_2,576.8
2,5_7,592
3,1_4,478.2
4,4_8,605.8
5,4_9,626.75
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,4_5,622.75
2,3_5,586
3,4_7,613.5
4,2_6,610
5,2_7,597.4
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,4_5,622.75
2,6_8,663.2
3,3_6,475.25
4,5_9,630
5,3_8,539.2
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,6_7,613.667
2,4_6,655.4
3,1_4,478.2
4,5_9,630
5,3_8,539.2
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,6_7,613.667
2,6_8,663.2
3,5_8,729
4,5_9,630
5,2_7,597.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,7_8,588.75
2,3_5,586
3,2_5,500.6
4,3_7,611.4
5,2_7,597.4
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,4_5,622.75
2,7_9,642.25
3,3_6,475.25
4,4_8,605.8
5,1_6,476.4
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,5_6,575
2,4_6,655.4
3,1_4,478.2
4,4_8,605.8
5,4_9,626.75
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,4_5,622.75
2,7_9,642.25
3,1_4,478.2
4,1_5,543.4
5,1_6,476.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,3_4,583.5
2,2_4,612
3,5_8,729
4,4_8,605.8
5,1_6,476.4
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,3_4,583.5
2,7_9,642.25
3,5_8,729
4,2_6,610
5,2_7,597.4
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,5_6,575
2,3_5,586
3,6_9,675
4,4_8,605.8
5,4_9,626.75
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,3_4,583.5
2,5_7,592
3,1_4,478.2
4,2_6,610
5,3_8,539.2
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,2_3,528.2
2,7_9,642.25
3,6_9,675
4,3_7,611.4
5,3_8,539.2
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,2_3,528.2
2,6_8,663.2
3,2_5,500.6
4,4_8,605.8
5,4_9,626.75
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,8_9,843.333
2,7_9,642.25
3,1_4,478.2
4,2_6,610
5,1_6,476.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,7_8,588.75
2,7_9,642.25
3,6_9,675
4,5_9,630
5,1_6,476.4
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,8_9,843.333
2,5_7,592
3,2_5,500.6
4,5_9,630
5,1_6,476.4
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,4_5,622.75
2,1_3,510.8
3,4_7,613.5
4,3_7,611.4
5,2_7,597.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,1_2,576.8
2,4_6,655.4
3,5_8,729
4,5_9,630
5,2_7,597.4
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,5_6,575
2,3_5,586
3,4_7,613.5
4,2_6,610
5,4_9,626.75
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,3_4,583.5
2,5_7,592
3,5_8,729
4,1_5,543.4
5,3_8,539.2
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,3_4,583.5
2,6_8,663.2
3,1_4,478.2
4,2_6,610
5,2_7,597.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,3_4,583.5
2,4_6,655.4
3,6_9,675
4,2_6,610
5,2_7,597.4
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,6_7,613.667
2,5_7,592
3,5_8,729
4,5_9,630
5,3_8,539.2
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,2_3,528.2
2,6_8,663.2
3,5_8,729
4,2_6,610
5,2_7,597.4
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,8_9,843.333
2,2_4,612
3,6_9,675
4,3_7,611.4
5,3_8,539.2
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,7_8,588.75
2,7_9,642.25
3,3_6,475.25
4,4_8,605.8
5,3_8,539.2
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,4_5,622.75
2,6_8,663.2
3,2_5,500.6
4,4_8,605.8
5,4_9,626.75
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,7_8,588.75
2,3_5,586
3,1_4,478.2
4,5_9,630
5,4_9,626.75
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,2_3,528.2
2,2_4,612
3,1_4,478.2
4,1_5,543.4
5,4_9,626.75
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,4_5,622.75
2,6_8,663.2
3,5_8,729
4,3_7,611.4
5,3_8,539.2
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,6_7,613.667
2,5_7,592
3,4_7,613.5
4,4_8,605.8
5,1_6,476.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,6_7,613.667
2,6_8,663.2
3,4_7,613.5
4,4_8,605.8
5,1_6,476.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,3_4,583.5
2,2_4,612
3,3_6,475.25
4,2_6,610
5,4_9,626.75
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,1_2,576.8
2,7_9,642.25
3,1_4,478.2
4,5_9,630
5,1_6,476.4
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,3_4,583.5
2,6_8,663.2
3,1_4,478.2
4,3_7,611.4
5,1_6,476.4
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,8_9,843.333
2,2_4,612
3,2_5,500.6
4,4_8,605.8
5,3_8,539.2
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,4_5,622.75
2,6_8,663.2
3,3_6,475.25
4,4_8,605.8
5,1_6,476.4
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,6_7,613.667
2,1_3,510.8
3,1_4,478.2
4,1_5,543.4
5,4_9,626.75
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,5_6,575
2,1_3,510.8
3,6_9,675
4,1_5,543.4
5,3_8,539.2
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,6_7,613.667
2,4_6,655.4
3,5_8,729
4,3_7,611.4
5,4_9,626.75
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,4_5,622.75
2,3_5,586
3,3_6,475.25
4,4_8,605.8
5,2_7,597.4
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,6_7,613.667
2,4_6,655.4
3,2_5,500.6
4,5_9,630
5,1_6,476.4
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,8_9,843.333
2,3_5,586
3,1_4,478.2
4,5_9,630
5,4_9,626.75
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,7_8,588.75
2,2_4,612
3,2_5,500.6
4,3_7,611.4
5,3_8,539.2
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,3_4,583.5
2,1_3,510.8
3,6_9,675
4,1_5,543.4
5,3_8,539.2
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,5_6,575
2,4_6,655.4
3,3_6,475.25
4,2_6,610
5,4_9,626.75
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,8_9,843.333
2,5_7,592
3,6_9,675
4,5_9,630
5,1_6,476.4
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,4_5,622.75
2,7_9,642.25
3,2_5,500.6
4,5_9,630
5,2_7,597.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,7_8,588.75
2,7_9,642.25
3,4_7,613.5
4,1_5,543.4
5,4_9,626.75
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,1_2,576.8
2,4_6,655.4
3,1_4,478.2
4,3_7,611.4
5,4_9,626.75
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,6_7,613.667
2,5_7,592
3,6_9,675
4,2_6,610
5,2_7,597.4
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,4_5,622.75
2,4_6,655.4
3,5_8,729
4,2_6,610
5,1_6,476.4
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,4_5,622.75
2,1_3,510.8
3,2_5,500.6
4,4_8,605.8
5,4_9,626.75
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,3_4,583.5
2,2_4,612
3,2_5,500.6
4,2_6,610
5,2_7,597.4
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,3_4,583.5
2,2_4,612
3,3_6,475.25
4,1_5,543.4
5,2_7,597.4
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,1_2,576.8
2,3_5,586
3,4_7,613.5
4,2_6,610
5,2_7,597.4
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,5_6,575
2,7_9,642.25
3,5_8,729
4,1_5,543.4
5,4_9,626.75
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,6_7,613.667
2,7_9,642.25
3,5_8,729
4,4_8,605.8
5,1_6,476.4
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,4_5,622.75
2,1_3,510.8
3,6_9,675
4,2_6,610
5,2_7,597.4
6,1_7,535.2
7,2_9,536.75
8,1_9,484.4
1,7_8,588.75
2,7_9,642.25
3,5_8,729
4,3_7,611.4
5,3_8,539.2
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,5_6,575
2,4_6,655.4
3,5_8,729
4,2_6,610
5,2_7,597.4
6,3_9,579.4
7,2_9,536.75
8,1_9,484.4
1,4_5,622.75
2,3_5,586
3,2_5,500.6
4,4_8,605.8
5,3_8,539.2
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,7_8,588.75
2,4_6,655.4
3,5_8,729
4,1_5,543.4
5,3_8,539.2
6,1_7,535.2
7,1_8,464.4
8,1_9,484.4
1,2_3,528.2
2,3_5,586
3,5_8,729
4,1_5,543.4
5,1_6,476.4
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,6_7,613.667
2,7_9,642.25
3,1_4,478.2
4,2_6,610
5,3_8,539.2
6,2_8,575.6
7,1_8,464.4
8,1_9,484.4
1,3_4,583.5
2,6_8,663.2
3,1_4,478.2
4,3_7,611.4
5,2_7,597.4
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,5_6,575
2,4_6,655.4
3,1_4,478.2
4,3_7,611.4
5,2_7,597.4
6,3_9,579.4
7,1_8,464.4
8,1_9,484.4
1,8_9,843.333
2,6_8,663.2
3,2_5,500.6
4,5_9,630
5,3_8,539.2
6,2_8,575.6
7,2_9,536.75
8,1_9,484.4
1,2_3,528.2
2,7_9,642.25
